ARU_Label,ARU_lat,ARU_long,Site_ID,lat,long,Stream,Basin,mean_BIBI,local100_imp_coverage,bibi_category,bibi_lmh,imp_lmh,Riparian_Buffer_Name,Open Water,Perennial Snow/Ice,Developed Open Space,Developed Low Intensity,Developed Medium Intensity,Developed High Intensity,Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetlands,Shape_Leng,Acres
UW27,47.52586,-121.94147,160,47.525851,-121.941132,Issaquah Creek - E Fork,Sammamish River Basin,97.3,0.194375,Excellent,High,Low,08ISS3877,32.75535124,0,272.6132111,154.3939585,60.62542317,8.32592269,3.426451853,160.0447253,748.1327937,1203.472241,51.11061614,8.323685539,65.15631376,0,278.9743477,36.70490591,911299.881,3084.053807
UW28,47.48926,-121.72281,2363,47.48838,-121.7196,Snoqualmie River - Middle Fork tributary (Lower),Snoqualmie Forks Basin,84.675,0.008,Excellent,High,Low,07LMS093027,1623.737155,26.76698465,74.3902984,6.610291429,3.832096608,1.109412188,628.3910797,200.5582153,7993.615731,909.1156986,970.2938697,314.5736267,3.376902332,0,276.3639672,19.47941485,3516642.039,13052.333
UW29,47.4881,-121.78541,2222,47.48806,-121.7853,Snoqualmie River - S Fork tributary,Snoqualmie Forks Basin,74.925,0.165625,Good,High,Low,07SFS011059,299.9725061,0,118.6333555,85.253631,57.80637127,9.251214387,33.3872911,79.1770303,3217.214539,580.5098554,396.5016425,83.53929823,4.944822406,0,276.9481436,10.6478002,1451119.845,5253.641315
UW3,47.76312,-122.1564,174,47.763211,-122.156929,Little Bear Creek,Sammamish River Basin,48.325,0.4811428571,Fair,Mid,High,08LIT2585,0,0,139.3417018,56.63825063,26.191396,26.61145373,0.02750964342,19.03455803,48.47331907,61.62354505,0.6237996639,0.001080763813,0.01161077723,0,124.6895953,5.981016976,107461.2326,509.2951328
UW30,47.48461,-122.02875,153,47.484906,-122.028632,Fifteenmile Creek,Sammamish River Basin,77.93333333,0.2142857143,Good,High,Mid,08ISS3877,32.75535124,0,272.6132111,154.3939585,60.62542317,8.32592269,3.426451853,160.0447253,748.1327937,1203.472241,51.11061614,8.323685539,65.15631376,0,278.9743477,36.70490591,911299.881,3084.053807
UW4,47.74255,-122.14172,193,47.7427,-122.1418,Gold Creek (Sammamish),Sammamish River Basin,40.25,0.109722222,Fair,Mid,Low,08SAM2865,0,0,0.9158892596,0.9512387074,0,0,0,0.2559960778,2.903833342,3.97487732,0,0,0,0,0,0,3399.593193,9.002526303
UW5,47.69706,-122.13156,191,47.696997,-122.131529,Sammamish River tributary (0101),Sammamish River Basin,11.1,0.4417142857,Very poor,Low,High,08SAM2855,0,0,0.01435484354,0.1568492882,0,0,0,0,0,0,0,0,0,0,0,0,165.2617938,0.1712154003
UW6,47.6824,-122.14392,188,47.682628,-122.143714,Peters Creek,Sammamish River Basin,7.675,0.745625,Very poor,Low,High,08SAM0000,0.1553639122,0,6.435087205,9.796014682,6.972960337,3.185872405,0.04569829593,4.680462656,0.8349362839,4.855008158,0.7931689185,0,0.1215182508,0,0,0,13601.91427,37.87836608
UW7,47.3748,-122.01706,125,47.374751,-122.017672,Rock Creek (Lower Cedar),Cedar River / Lake Washington Basin,91.3,0,Excellent,High,Low,08CED4192,34.41658657,0,40.12535957,38.56704406,3.148921595,0.2173378007,0,15.03315544,246.6862628,297.0789508,46.25642629,13.79370223,11.87241134,0,210.2395884,9.865800789,191250.1573,967.2433962
UW8,47.35855,-122.12494,270,47.358599,-122.125122,Little Soos Creek,Duwamish - Green River Basin,55.4,0.6114285714,Fair,Mid,High,09SOO0943,1417.631171,0,851.4243496,391.6712606,102.5783628,9.695135092,8.492739893,104.1178047,237.4196377,450.2137131,47.85880774,21.63064948,60.10462804,0,1273.202688,135.4324804,589374.2808,5111.214234
UW9,47.33085,-122.1548,264,47.331725,-122.155276,Soosette Creek,Duwamish - Green River Basin,64.75,0.3663888889,Good,Mid,Mid,09SOO0943,1417.631171,0,851.4243496,391.6712606,102.5783628,9.695135092,8.492739893,104.1178047,237.4196377,450.2137131,47.85880774,21.63064948,60.10462804,0,1273.202688,135.4324804,589374.2808,5111.214234
