Row	Site ID	WRIA	Basin	Subbasin	Stream	Agency	Project	Site Code	Latitude	Longitude	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
18	1625	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Washington State Department of Ecology	TMDL Studies	Squalicum Creek Below Hannegan Rd	48.787783	-122.439483																			14.3											
19	1627	WRIA 1 - Nooksack	Nooksack River Delta Basin	Squalicum Creek Subbasin	Squalicum Creek	Washington State Department of Ecology	TMDL Studies	Upper Squalicum Creek	48.801360	-122.390144																			61.1											
20	1611	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Cemetery Creek (Whatcom Creek)	City of Bellingham	Whatcom Creek Long-term Restoration Project	CECR_0.05	48.753790	-122.453015														9.7		3.2		3.5		1.9										
21	1612	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Cemetery Creek (Whatcom Creek)	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	CECR_0.10	48.753362	-122.453231								18.7	18.6	18.7				17.2		4.3		0.4		0.1										
22	1613	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Cemetery Creek (Whatcom Creek)	City of Bellingham	Whatcom Creek Long-term Restoration Project	WCCR_0.02	48.752972	-122.453085														6.1		11.5		14.3		4.1										
23	2707	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	King County - DNRP	Restoration and Protection of Select B-IBI Basins - King County riffle method	01CC01	48.701850	-122.488270																								67.3	88.1					
24	971	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-CHUC02	48.701850	-122.488270																				82.5	87.3	88.8	86.4			81.1				
25	2538	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-CHUD02	48.701700	-122.488000																	86.4													
26	2684	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	CHCR_0.14	48.700694	-122.493713																								66.5	89.2	77	63			
27	2683	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	CHCR_0.67	48.702203	-122.483705																								77.5	77.1	75.3	71.5			
28	1596	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	CHCR_0.83	48.701664	-122.480700																		76												
29	1308	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Chuckanut Creek	King County - DNRP	WRIA08_WS_Survey	EPA06600-CHUC01	48.702340	-122.483650																		50.1	76.4	48.2										
30	1614	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Hannah Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	HACR_0.33	48.750944	-122.433498																										64.9	53.8			
31	746	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	COCR_0.04	48.715586	-122.482668								15.4		15.5																				
32	2685	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	PACR_0.06	48.719564	-122.507171																								11.4	11.2	11.2	9.6			
33	744	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	PACR_0.07	48.719384	-122.507151								32.7		3.3																				
34	745	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	PACR_0.90	48.715024	-122.496982								22.5		17.3																				
35	2692	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	PACR_1.48	48.715288	-122.486469																								24.5	17.3	31.1	32.1			
36	747	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	PACR_1.66	48.715248	-122.482830								70.5		17.6																				
37	2943	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	PACR_1.88	48.714196	-122.478320																										86.3	85			
38	748	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	PACR_2.89	48.705199	-122.466383								49.3		44																				
39	749	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	PACR_4.13	48.697330	-122.441549								54.8																						
40	2495	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Padden Creek	Washington State Department of Ecology	Regional Stormwater Monitoring Program Puget Lowland Ecoregion Streams	RSM06600-032304	48.715267	-122.481712																						12.6								
41	2452	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	Washington State Department of Ecology	Regional Stormwater Monitoring Program Puget Lowland Ecoregion Streams	RSM06600-005456	48.753304	-122.468000																						4.2								
42	2688	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	WHCR_0.29	48.755424	-122.481003																								10.9	13.4	10.2	13.3			
43	2689	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	WHCR_1.34	48.754244	-122.465167																								34.7	38.3	20.6	38.3			
44	742	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	WHCR_1.36	48.754309	-122.464795								15.6	16.5	18				32.6																
45	2793	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	WHCR_1.96	48.754617	-122.453841																									54.4	32.2	43			
46	741	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	WHCR_2.02	48.754044	-122.452885								10.9	21	30.1				24.2																
47	2691	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	City of Bellingham	Annual Macroinvertebrate Monitoring Program	WHCR_2.60	48.756772	-122.443561																								31.7	28.1	21.2	28.9			
48	740	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Bellingham Bay Subbasin	Whatcom Creek	City of Bellingham	Miscellaneous Macroinvertebrate Monitoring	WHCR_2.73	48.755995	-122.441192								19.1	27.7	25.5				32.7																
49	970	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Lake Whatcom Subbasin	Austin Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-AUST02	48.706500	-122.342570																	80.2			81.6	96.8	90						94.1		
50	2451	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Lake Whatcom Subbasin	Austin Creek	Washington State Department of Ecology	Regional Stormwater Monitoring Program Puget Lowland Ecoregion Streams	RSM06600-005136	48.718498	-122.324669																						46.2								
51	1094	WRIA 1 - Nooksack	Whatcom-Chuckanut Basin	Samish Bay Subbasin	Oyster Creek	King County - DNRP	WRIA08_WS_Survey	EPA06600-OYST01	48.618660	-122.439500																	81.3													
52	3227	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	Fornsby Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	FOR	48.431830	-122.516582																													46.8	25.7
53	3226	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	Munks Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	MUN	48.420065	-122.502420																													38.4	27.1
54	3228	WRIA 3 - Lower Skagit / Samish	Fidalgo Basin	Fidalgo Island Subbasin	SneeOosh Creek	Swinomish Indian Tribal Community	Swinomish Indian Tribal Community Stream Bioassessment Monitoring	SNE	48.395991	-122.535501																													26.3	42.4
55	991	WRIA 3 - Lower Skagit / Samish	Lower Skagit River Delta Basin	Carpenter Creek Subbasin	Carpenter Creek (Skagit)	Washington State Department of Ecology	WatershedHealth_WAM0	WAM06600-001192	48.379445	-122.306605																34.1														
56	2426	WRIA 3 - Lower Skagit / Samish	Samish Basin	Samish River Subbasin	Thomas Creek (Samish)	Washington State Department of Ecology	Regional Stormwater Monitoring Program Puget Lowland Ecoregion Streams	RSM06600-001564	48.541156	-122.267931																						82.9								
57	1035	WRIA 3 - Lower Skagit / Samish	Samish Basin	Samish River Subbasin	Willard Creek	Washington State Department of Ecology	WatershedHealth_WAM0	WAM06600-001228	48.528191	-122.278930																34														
58	972	WRIA 4 - Upper Skagit	Diablo Lake Basin	Diobsud Creek Subbasin	Diobsud Creek	Washington State Department of Ecology	Ambient Freshwater Biological Monitoring Program	BIO06600-DIOB77	48.574150	-121.430370																	75.3		75.6			75.9				78.9				
59	955	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Church Creek Subbasin	Church Creek	Snohomish County	Critical Area Regulations Monitoring Program	5-187	48.248027	-122.313628																54.3	53.5													
60	953	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Church Creek Subbasin	Church Creek	Snohomish County	Critical Area Regulations Monitoring Program	5-54	48.253695	-122.298455																56.7	52.7													
61	364	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Church Creek Subbasin	Church Creek	Snohomish County	Ambient	CC284	48.253995	-122.298281														35.7				35.1												
62	366	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Church Creek Subbasin	Church Creek	Snohomish County	Ambient	CCJENSEN	48.248076	-122.313485														56.7				67.4			69.2									
63	1254	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Church Creek Subbasin	Church Creek	Snohomish County	Ambient	Montague	48.254173	-122.297017														53.1				42.5												
64	952	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Church Creek Subbasin	Douglas Creek	Snohomish County	Critical Area Regulations Monitoring Program	5-42	48.258657	-122.341592																22.4	37.7													
65	2043	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Church Creek Subbasin	Douglas Creek	Snohomish County	Ambient	dougstill	48.258666	-122.341618														43																
66	956	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Lower Stillaguamish River Subbasin	Glade Bekken	Snohomish County	Critical Area Regulations Monitoring Program	5-300	48.204037	-122.289490																42.4	64.3													
67	452	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Lower Stillaguamish River Subbasin	Glade Bekken	Snohomish County	Ambient	T30CHAN	48.206388	-122.292930															42.5	37.7														
68	453	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Lower Stillaguamish River Subbasin	Glade Bekken	Snohomish County	Ambient	TR30	48.204383	-122.290067														53.2				62.1			71.2									
69	358	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Armstrong Creek	Snohomish County	Ambient	ARMS	48.219350	-122.135125																		54.3			53.7									
70	2044	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Cougar Creek	Snohomish County	Ambient	fishres	48.153872	-122.240982														62.7																
71	2045	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Cougar Creek Trib	Snohomish County	Ambient	fishtr	48.168269	-122.260595														78.7																
72	382	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Fish Creek	Snohomish County	Ambient	FISH	48.175669	-122.224420														59.1				63.9			57.3									
73	954	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Fish Creek tributary	Snohomish County	Critical Area Regulations Monitoring Program	5-149	48.168291	-122.260850																59.1	53													
74	1819	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Harvey Creek	Stillaguamish Tribe	Stilly WQ	009	48.218450	-122.136099																56.5		54.3												
75	500	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Harvey Creek	Snohomish County	Critical Area Regulations Monitoring Program	CAR2B	48.252140	-122.139220															64.7	56.9	87.4													
76	502	WRIA 5 - Stillaguamish	Main Stem Stillaguamish River Basin	Stillaguamish Flats Subbasin	Portage Creek 	Snohomish County	Critical Area Regulations Monitoring Program	CAR3C	48.176190	-122.121975															65.9	58.7	72.8													
77	1241	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	French Creek/Boulder River Subbasin	Boulder River	Snohomish County	Ambient	Boulder	48.277869	-121.780953														86				66.1			72.6									
78	2042	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	French Creek/Boulder River Subbasin	Browns Creek	Snohomish County	Ambient	browns	48.239296	-121.629797														84.8							84.6									
79	1261	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	French Creek/Boulder River Subbasin	French Creek (Stillaguamish)	Snohomish County	Ambient	FrenchCr	48.277938	-121.753470																		54.4			88.9									
80	1246	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	French Creek/Boulder River Subbasin	Squire Creek	Snohomish County	Ambient	Squire	48.270836	-121.671603														79.8				43.7			59.4									
81	1262	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	French Creek/Boulder River Subbasin	Squire Creek	Snohomish County	Ambient	SquireCk	48.277241	-121.683809																		48.9			55.6									
82	1242	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Hazel Subbasin	Brooks Creek	Snohomish County	Ambient	Brooks	48.281694	-121.908133														75.9				57.3			81.3									
83	1252	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Hazel Subbasin	Segelsen Creek	Snohomish County	Ambient	Selgensen	48.283557	-121.714711														63				72.2			80.5									
84	1243	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Fry Creek	Snohomish County	Ambient	FRY	48.265253	-121.913628														76.3				71.3			72.5									
85	1244	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Grant Creek	Snohomish County	Ambient	Grant	48.275372	-122.012628														59.6				59			75.7									
86	2048	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	N Fork Stillaguamish Trib	Snohomish County	Ambient	stnftr99	48.253099	-122.096189														73.8							87.3									
87	1245	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Rock Creek (Stillaguamish)	Snohomish County	Ambient	Rock	48.259861	-122.090692														80.2				67.3			62.7									
88	951	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Stillaguamish River - N Fork	Snohomish County	Critical Area Regulations Monitoring Program	5-37	48.230383	-122.090312																81.1	74.7													
89	1820	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Stillaguamish River - N Fork tributary	Stillaguamish Tribe	Stilly WQ	016	48.278339	-121.957718																75.7		77.2												
90	1255	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Stillaguamish River - N Fork tributary	Snohomish County	Ambient	91STAVE	48.264286	-122.105155																		74.5												
91	1264	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Stillaguamish River - N Fork tributary	Snohomish County	Ambient	MCGOV	48.280772	-121.993854																		59.8												
92	1260	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Stillaguamish River - N Fork tributary	Snohomish County	Ambient	SR530	48.226485	-122.089579																		58.2												
93	1247	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Lower N Fork Stillaguamish Subbasin	Stillaguamish River - N Fork tributary	Snohomish County	Ambient	stnftr115	48.230478	-122.077969														53.1				89.5			85.8									
94	2049	WRIA 5 - Stillaguamish	N Fork Stillaguamish River Basin	Upper N Fork Stillaguamish Subbasin	Upper N Fork Stillaguamish Trib	Snohomish County	Ambient	Fuchsl	48.256708	-121.940648														82.7							61.2									
95	1818	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish)	Stillaguamish Tribe	Stilly WQ	022	48.212877	-122.222407																63.5		56.5												
96	415	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish)	Snohomish County	Ambient	PILC	48.210240	-122.225622														41.3				70.8			26.1									
97	416	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish)	Snohomish County	Ambient	PILHWY9	48.265588	-122.164594														72.2							46.8									
98	2047	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish)	Snohomish County	Ambient	pili5	48.214772	-122.217026														64.5																
99	422	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish)	Snohomish County	Ambient	PILSB	48.239036	-122.205027														43				63.5			46.3									
100	1263	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish) tributary	Snohomish County	Ambient	15AVENE	48.253170	-122.209144																		62												
101	957	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish) tributary	Snohomish County	Critical Area Regulations Monitoring Program	5-305	48.229206	-122.223941																59.2	53.5													
102	499	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish) tributary	Snohomish County	Critical Area Regulations Monitoring Program	CAR2A	48.281440	-122.233790															70.5		58.4													
103	1253	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish) tributary	Snohomish County	Ambient	Nettle	48.237949	-122.245729																		61.2												
104	2046	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish) tributary	Snohomish County	Ambient	pilctr	48.229203	-122.223852														77																
105	1015	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Pilchuck Creek (Stillaguamish) tributary	Washington State Department of Ecology	WatershedHealth_WAM0	WAM06600-001480	48.295119	-122.149923																66.8				51.7										
106	1821	WRIA 5 - Stillaguamish	Pilchuck Creek (Stillaguamish) Basin	Lower Pilchuck Creek (Stillaguamish) Subbasin	Secret Creek	Stillaguamish Tribe	Stilly WQ	208	48.226338	-122.224199																	44.1													
107	1822	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Burn Hill Road Drainage Subbasin	Brenner Creek	Stillaguamish Tribe	Stilly WQ	209	48.096300	-122.006516																	40.3													
108	1259	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Canyon Creek (Stillaguamish) Subbasin	Canyon Creek (Stillaguamish)	Snohomish County	Ambient	Masonic	48.123768	-121.892864																		59.4												
109	1248	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Canyon Creek (Stillaguamish) Subbasin	Tiger Creek	Snohomish County	Ambient	Tiger	48.122247	-121.919867														67.5				44.3			78.8									
110	535	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Cub Creek	Adopt-A-Stream Foundation	Jim Creek	JimCAAS7R	48.214606	-121.939649															50.7									66.6						
111	2211	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Snohomish County	Ambient	Audubon	48.211778	-122.023890																					73.5									
112	1256	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Snohomish County	Ambient	JIM117	48.177474	-122.067081														55.5				53.6												
113	2041	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Snohomish County	Ambient	JIM208	48.184080	-122.040998														64.7																
114	1257	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Snohomish County	Ambient	JIM227	48.201751	-122.030075																		53.2												
115	532	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Adopt-A-Stream Foundation	Jim Creek	JimCAAS4S	48.209200	-121.929100															70.4									68.8						
116	533	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Adopt-A-Stream Foundation	Jim Creek	JimCAAS5S	48.217800	-121.943063															55									35.1						
117	534	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Adopt-A-Stream Foundation	Jim Creek	JimCAAS6S	48.222907	-121.949140															60.3									71.1						
118	536	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Adopt-A-Stream Foundation	Jim Creek	JimCAAS8R	48.198100	-121.904514															70.2									52.5						
119	2210	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Snohomish County	Ambient	JimCr	48.211195	-122.016680																					78.9									
120	387	WRIA 5 - Stillaguamish	S Fork Stillaguamish River Basin	Jim Creek Subbasin	Jim Creek	Snohomish County	Ambient	JIMWHITE	48.177476	-122.050732														67.8				66.7			61.3									
