Row	Site ID	WRIA	Basin	Subbasin	Stream	Agency	Project	Site Code	Latitude	Longitude	2021	2022	2023	2024
14	2225	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Mud Creek	King County - DNRP	Ambient Monitoring	07PAT001415	47.564750	-121.853444	33.7	58.1	79.4	
15	2599	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Snoqualmie River tributary (0430)	King County - DNRP	Ambient Monitoring	07PAT231079	47.549260	-121.888840	92.9	75.5	91.3	
16	2368	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Harris Creek Subbasin	Ames Creek	King County - DNRP	Ambient Monitoring	07HAR070087	47.652920	-121.960870	60.3			
17	2366	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Harris Creek Subbasin	Snoqualmie River tributary (Harris Creek subbasin)	King County - DNRP	Ambient Monitoring	07HAR025863	47.682790	-121.920490	70.1	57.7		
18	519	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Harris Creek Subbasin	Weiss Creek	King County - DNRP	Regulatory Effectiveness	53E	47.692470	-121.945410	68.4	68.6		
19	2603	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Coal Creek (Snoqualmie River)	King County - DNRP	Ambient Monitoring	07PAT228627	47.523697	-121.844634	67.2	91	82.2	
20	1817	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Coal Creek (Snoqualmie River)	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	CC	47.526353	-121.840187	58.7			
21	1823	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Fisher Creek (Snoqualmie)	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	FC	47.531567	-121.845975	63.4			
22	1824	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Kimball Creek	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	KC5	47.535453	-121.830083	9			
23	1825	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Kimball Creek	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	KCCC	47.527146	-121.834243	52			
24	1827	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Kimball Creek	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	KCX	47.529480	-121.832746	40.1			
25	2601	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Patterson Creek Subbasin	Canyon Creek (Snoqualmie River)	King County - DNRP	Ambient Monitoring	07PAT166087	47.583426	-121.951276	72.7	69	77.4	
26	2602	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Patterson Creek Subbasin	Patterson Creek	King County - DNRP	Ambient Monitoring	07PAT187623	47.582202	-121.929938	27.1	33.7	57.8	
27	2217	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Raging River Subbasin	Raging River tributary	King County - DNRP	Ambient Monitoring	07RAG018227	47.479150	-121.892999	91.4	81.8		
28	2224	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Raging River Subbasin	Snoqualmie River tributary (Raging River subbasin)	King County - DNRP	Ambient Monitoring	07RAG002867	47.498716	-121.919170	90.2	98.5	98.9	
29	2216	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Raging River Subbasin	Snoqualmie River tributary (Raging River subbasin)	King County - DNRP	Ambient Monitoring	07RAG022147	47.457368	-121.836318	88.2	94.2	93.6	
30	2595	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tokul Creek Subbasin	Tokul Creek	King County - DNRP	Ambient Monitoring	07TKL047047	47.580200	-121.781830	92.8	93.7	91.5	
31	2594	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tokul Creek Subbasin	Tokul Creek	King County - DNRP	Ambient Monitoring	07TKL072439	47.621687	-121.784871	94.8	98.5	98.7	
32	2815	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tolt River Subbasin	Lower S Fork Tolt River tributary (0303)	King County - DNRP	Ambient Monitoring	07LNT163403	47.744299	-121.820777	88.4	91.3	81	
33	3241	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tolt River Subbasin	Unnamed Tolt River tributary (0294)	Snoqualmie Tribe	Unnamed Tributary to Lower Tolt River 2022	Tolt_trib_lower	47.659630	-121.874710		23.1		
34	3240	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tolt River Subbasin	Unnamed Tolt River tributary (0294)	Snoqualmie Tribe	Unnamed Tributary to Lower Tolt River 2022	Tolt_trib_upper	47.660780	-121.872560		59.4		
35	508	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Edgewater Creek	City of Everett	Ambient Monitoring	Edg	47.951900	-122.287420	10.3	6.1	12	10.9
36	505	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Glenwood Creek	City of Everett	Ambient Monitoring	Gle	47.958390	-122.249950	39.4	10.2	40.5	18.9
37	510	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Japanese Creek	City of Everett	Ambient Monitoring	Jap	47.950030	-122.293270	22.1	4.7	9.6	18.3
38	506	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Merrill and Ring Creek	City of Everett	Ambient Monitoring	Mer	47.957990	-122.258860	27.6	11.8	26.4	24.4
39	503	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Pigeon Creek	City of Everett	Ambient Monitoring	Pig1	47.969680	-122.230020	7.6	2.7	8.9	5.7
40	504	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Pigeon Creek	City of Everett	Ambient Monitoring	Pig2	47.963380	-122.239390	16.2	19.4	31.6	25.3
41	507	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Powder Mill Creek	City of Everett	Ambient Monitoring	Pow	47.951610	-122.271310	29.1	10.7	33.8	24.8
42	509	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Woods Creek (Everett)	City of Everett	Ambient Monitoring	Woo	47.924980	-122.185520	24	7.3	26	28
43	3243	WRIA 7 - Snohomish	Snohomish Basin	Quilceda Creek Subbasin	Quilceda Creek	The Tulalip Tribes	Tulalip Tribes Watershed Health Stream Monitoring	TTW044HS-WFQC02	48.103692	-122.187208		40.9	23.6	
44	3244	WRIA 7 - Snohomish	Snohomish Basin	Tulalip Creek Subbasin	Tulalip Creek	The Tulalip Tribes	Tulalip Tribes Watershed Health Stream Monitoring	TTW044HS-TULA01	48.073874	-122.285486		63.7	56.2	
45	2374	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS026663	47.544336	-121.543278	83.6	72.5	75.3	
46	2362	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS033235	47.516840	-121.611660	94.8	89.8	84.9	
47	2363	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS055075	47.488376	-121.719565	83.9	81.5	95.3	
48	2365	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS093027	47.486270	-121.757711	67.8	68.6	63	
49	2591	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS103591	47.543240	-121.541460	92	95.9	92.9	
50	2604	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS213875	47.495175	-121.640286	73.4	69.6	86.2	
51	2383	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS009443	47.467888	-121.752865	82.5	54.6	86.7	
52	2222	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS011059	47.488057	-121.785286	76.9	70.7	74.9	
53	2221	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS011475	47.440617	-121.666430	77.1	79.8	61	
54	2384	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS041891	47.470956	-121.772703	62.8	63.8	77.7	
55	2389	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS066611	47.440732	-121.649546	78.1	61.4	69.2	
56	136	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	King County - DNRP	Ambient Monitoring	08EAS2446	47.552530	-122.165120	62.3	28.2	60.1	
57	1939	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalBelRM1.3	47.562500	-122.171400	33.6	7.3	30.2	
58	571	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalBelRM4.0	47.541777	-122.141785	53.8	52.6	61.1	
59	3097	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalLow_21	47.566100	-122.178700	16.6	17.7	28.5	
60	3101	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalRedtown_21	47.537180	-122.132080	34.6	56.6	36	
61	3091	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalSkagit_21	47.572800	-122.188900	13.9	19.6	21.4	
62	137	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.) tributary (0273)	King County - DNRP	Ambient Monitoring	08EAS2540	47.550172	-122.156867	28.5	29.3	37.1	
63	3102	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.) tributary (0275)	City of Bellevue	Macroinvertebrates	NewcastleTrib_21	47.553200	-122.166500	35.8	29.7	24.8	
64	2608	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Newport Creek	City of Bellevue	Macroinvertebrates	NewpBelRM0.0	47.566200	-122.180100	13.2	2	16.4	
65	1856	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	E Lake Washington - Bellevue N Subbasin	Cochran Springs Creek	City of Kirkland	B-IBI	CochranKirk1	47.645496	-122.202811	18.9		9.5	
66	3099	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	E Lake Washington - Bellevue N Subbasin	Yarrow Creek Subbasin	City of Bellevue	Macroinvertebrates	YarrowMain_21	47.639670	-122.185770	37.4	40.1	52.4	
67	1940	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	E Lake Washington - Bellevue N Subbasin	Yarrow Creek Subbasin	City of Bellevue	Macroinvertebrates	YarrowWestTribBelRM0.2	47.642250	-122.204170	19.2	12.3	8.6	
68	1229	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	E Lake Washington - Bellevue S Subbasin	Lakehurst Creek	City of Bellevue	Macroinvertebrates	Lkhrst405RM0.3	47.555370	-122.188856	1.2	3		
69	204	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	E Lake Washington - Kenmore N Subbasin	Lake Washington tributary (0056)	King County - DNRP	Ambient Monitoring	08WES1178	47.766499	-122.263888	8.1	4.1	16.8	
70	131	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	E Lake Washington - Kenmore S Subbasin	Denny Creek	King County - DNRP	Ambient Monitoring	08EAS1536	47.709929	-122.248781	32.2	22.4	27.6	
71	134	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Forbes Creek Subbasin	Forbes Creek (0242)	King County - DNRP	Ambient Monitoring	08EAS2191	47.695551	-122.197014	13.4	5.7	13.6	
72	559	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Forbes Creek Subbasin	Forbes Creek (0242)	City of Kirkland	B-IBI	ForbesKirk1	47.696825	-122.183463	9.4		13.3	
73	560	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Forbes Creek Subbasin	Forbes Creek (0242)	City of Kirkland	B-IBI	ForbesKirk2	47.696664	-122.188156	19	21		
74	1602	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Juanita Creek Subbasin	Juanita Creek	City of Kirkland	B-IBI	BillyKirk1	47.713408	-122.215624	17.1		13.9	
75	1604	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Juanita Creek Subbasin	Juanita Creek	City of Kirkland	B-IBI	E1186	47.725800	-122.192800	26.6	24.1		
76	1862	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Juanita Creek Subbasin	Juanita Creek	City of Kirkland	B-IBI	HazenHills	47.719000	-122.179000	1.5		3	
77	555	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Juanita Creek Subbasin	Juanita Creek	City of Kirkland	B-IBI	JuanitaKirk1	47.715982	-122.207378	17.8	25.5		
78	557	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Juanita Creek Subbasin	Juanita Creek	City of Kirkland	B-IBI	JuanitaKirk3	47.711081	-122.210285	19		26.3	
79	558	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Juanita Creek Subbasin	Juanita Creek	City of Kirkland	B-IBI	JuanitaKirk4	47.707183	-122.215498	18.6	30.6		
80	1603	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Juanita Creek Subbasin	Juanita Creek	City of Kirkland	B-IBI	KingsgateKirk1	47.721479	-122.196523	4.8	8.8		
81	138	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	East Creek	King County - DNRP	Ambient Monitoring	08EAS2546	47.582723	-122.157426	3.5	0	1.2	
82	3095	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Goff Creek	City of Bellevue	Macroinvertebrates	Goff132nd_21	47.619900	-122.164000	11.5	11.3	10.7	
83	563	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Goff Creek	City of Bellevue	Macroinvertebrates	GoffBelRM1.4	47.631000	-122.166000		23.9	11.7	
84	3112	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Goff Creek	City of Bellevue	Macroinvertebrates	GoffUsBp_21	47.631735	-122.166220	7.2			
85	135	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Kelsey Creek	King County - DNRP	Ambient Monitoring	08EAS2272	47.623286	-122.156843	30.5	20.1	14.2	
86	570	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Kelsey Creek	City of Bellevue	Macroinvertebrates	KelBelRM0.2	47.603000	-122.181000	21.2	23.4	17.1	
87	565	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Kelsey Creek	City of Bellevue	Macroinvertebrates	KelBelRM2.3	47.614000	-122.164000		24.2		
88	566	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Kelsey Creek	City of Bellevue	Macroinvertebrates	KelBelRM2.4	47.616000	-122.164000	27.6		21	
89	569	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Kelsey Creek	City of Bellevue	Macroinvertebrates	KelBelRM3.9	47.620790	-122.144490		16.2	16	
90	1228	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Kelsey Creek, West Tributary	City of Bellevue	Macroinvertebrates	WestTribFarmRM0.4	47.604893	-122.164781	10.2	10.8	25.8	
91	3109	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Valley Creek (Bellevue)	City of Bellevue	Macroinvertebrates	ValleyAPTS_21	47.632640	-122.152150	21.1	25.5	26.6	
92	3094	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Kelsey Creek Subbasin	Valley Creek (Bellevue)	City of Bellevue	Macroinvertebrates	ValleyBGC_21	47.653400	-122.151600	10.7	15.7	8.7	
93	123	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Cedar River - Lower tributary (0311)	King County - DNRP	Ambient Monitoring	08CED2898	47.461466	-122.125545	54.3	58.6	52.3	
94	127	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Hotel Creek (0342)	King County - DNRP	Ambient Monitoring	08CED4975	47.410569	-121.921792		72.2		
95	122	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Madsen Creek	King County - DNRP	Ambient Monitoring	08CED2711	47.453235	-122.137979	31.6	28.3	32.8	
96	120	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Maplewood Creek	King County - DNRP	Ambient Monitoring	08CED2433	47.474227	-122.163593	37.8	35.5	41.5	
97	121	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Molasses Creek	King County - DNRP	Ambient Monitoring	08CED2518	47.466759	-122.159109	55.5	42.7	65.4	
98	125	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Rock Creek (Lower Cedar)	King County - DNRP	Ambient Monitoring	08CED4192	47.374751	-122.017672	93.8	85.7	92.9	
99	518	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Taylor Creek/Jem Creek (Lower Cedar)	King County - DNRP	Regulatory Effectiveness	31I	47.409127	-122.025259	82.5	89.3		
100	129	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Webster Creek - Upper (0341)	King County - DNRP	Ambient Monitoring	08CED5046	47.427700	-121.915450	63.6	85	97.1	
101	517	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lower Cedar River Subbasin	Webster Creek - Upper (0341)	King County - DNRP	Regulatory Effectiveness	31Q	47.416394	-121.919380	89.3	90.9		
102	201	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lyon Creek Subbasin	Lyon Creek	King County - DNRP	Ambient Monitoring	08WES0905	47.759565	-122.286830	46.4	42.3	41.5	
103	760	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lyon Creek Subbasin	Lyon Creek	City of Lake Forest Park	Benthic Invertebrates	LyonLFPS35th	47.768000	-122.293550	29.5	32.4	26.3	51.9
104	761	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Lyon Creek Subbasin	Lyon Creek	City of Lake Forest Park	Benthic Invertebrates	LyonLFPSFiene	47.756917	-122.283400	40	39.7	37.2	45.4
105	132	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	May Creek Subbasin	May Creek (Lake Washington)	King County - DNRP	Ambient Monitoring	08EAS1964	47.529663	-122.200605	41.9	49.4	50.9	
106	133	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	May Creek Subbasin	May Creek (Lake Washington)	King County - DNRP	Ambient Monitoring	08EAS2058	47.519171	-122.194691	52.3	55.7	59.8	
107	139	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	May Creek Subbasin	May Creek (Lake Washington)	King County - DNRP	Ambient Monitoring	08EAS2631	47.518948	-122.163144	59.6	49	75.2	
108	200	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	McAleer Creek Subbasin	McAleer Creek	King County - DNRP	Ambient Monitoring	08WES0903	47.752199	-122.281877	27.2	37.7	33.1	
109	3113	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	McAleer Creek Subbasin	McAleer Creek	City of Lake Forest Park	Benthic Invertebrates	2900PerkinsWay	47.759895	-122.297523	31.1	54.5		
110	762	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	McAleer Creek Subbasin	McAleer Creek	City of Lake Forest Park	Benthic Invertebrates	McAlLFPS196th	47.770600	-122.311500			39.9	49.6
111	763	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	McAleer Creek Subbasin	McAleer Creek	City of Lake Forest Park	Benthic Invertebrates	McAlLFPSAnmlAcres	47.755417	-122.287550	41.7	37.4	49.6	31.9
112	3100	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Mercer Slough Subbasin	Sunset Creek	City of Bellevue	Macroinvertebrates	SunsetCC_21	47.569810	-122.144620	1.2	13.4	15.3	
113	3111	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Mercer Slough Subbasin	Sunset Creek	City of Bellevue	Macroinvertebrates	SunsetRavine_21	47.579230	-122.161870		4.8		
114	199	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Maple Leaf Creek	King County - DNRP	Ambient Monitoring	08WES0629	47.702708	-122.308342	3.6	5.5	22.1	
115	469	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	95T	47.696700	-122.277700	13.4		12.3	
116	475	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	KNKC	47.702320	-122.308610	3.8	4.3	14	
117	2681	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	KNKT_D	47.701090	-122.307560	9.6	4.3	16.5	
118	2682	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	KNKT_U	47.701401	-122.308410	9.4		11.6	
119	2607	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Status & Trends	KNKT-U	47.701401	-122.308410		5.1		
120	3028	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	LCPFP_1	47.719482	-122.303475	7.4	17.1	3.9	
121	3029	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	LCPFP_2	47.720926	-122.304972	6.9	6.2	8.8	
122	473	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	NFCC	47.710710	-122.289500	23.9	10.3	23	
123	471	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	NFCT	47.706900	-122.289900	7.5	10.9	31.3	
124	474	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Thornton Creek Subbasin	Thornton Creek	City of Seattle	Project Evaluation	SFCC	47.706920	-122.291150	3.1	9	7.4	
