Row	Visit ID	Site ID	WRIA Number	WRIA	Basin	Subbasin	Stream	Agency	Project	Site Code	Latitude	Longitude	Event Date	Date Released	Taxonomic Resolution	Total SqFt	Taxa Richness Quantity	Ephemeroptera Richness Quantity	Plecoptera Richness Quantity	Trichoptera Richness Quantity	EPT Richness Quantity	Clinger Richness Quantity	Long-Lived Richness Quantity	Intolerant Richness Quantity	Percent Dominant Quantity	Predator Percent Quantity	Tolerant Percent Quantity	Number of Organisms	Overall Score	Taxa Richness Score	Ephemeroptera Richness Score	Plecoptera Richness Score	Trichoptera Richness Score	Clinger Richness Score	Long-Lived Richness Score	Intolerant Richness Score	Percent Dominant Score	Predator Percent Score	Tolerant Percent Score
11	12824	2592	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Griffin Creek	King County - DNRP	Ambient Monitoring	07GRN022903	47.610886	-121.864122	8/29/2023	4/16/2024	Fine	8	40	4	6	7	17	24	8	5	57.4%	18.0%	1.0%	500	69.5	4.5	4.3	7.1	7.5	10.0	7.5	7.1	3.1	8.5	9.8
12	12826	2376	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Griffin Creek	King County - DNRP	Ambient Monitoring	07GRN077319	47.615841	-121.900707	9/7/2023	4/1/2024	Fine	8	46	8	8	8	24	26	5	6	51.4%	6.8%	0.6%	500	75.1	6.6	10.0	10.0	8.8	10.0	3.8	8.6	4.8	2.9	9.9
13	13283	1235	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Griffin Creek	Washington State Department of Ecology	Status and Trends WA Statewide Sentinel Site Monitoring	SEN06600-GRIF09	47.604630	-121.885050	8/23/2023	9/20/2024	Fine	8	71	13	9	9	31	33	7	7	26.0%	6.8%	3.2%	500	88.4	10.0	10.0	10.0	10.0	10.0	6.2	10.0	10.0	2.9	9.3
14	12738	2225	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Mud Creek	King County - DNRP	Ambient Monitoring	07PAT001415	47.564750	-121.853444	8/29/2023	4/16/2024	Fine	8	52	5	9	9	23	19	9	7	47.6%	10.8%	6.2%	500	79.4	8.6	5.7	10.0	10.0	7.1	8.8	10.0	5.8	4.9	8.6
15	12718	2599	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Griffin Creek Subbasin	Snoqualmie River tributary (0430)	King County - DNRP	Ambient Monitoring	07PAT231079	47.549260	-121.888840	8/24/2023	4/16/2024	Fine	8	53	5	10	11	26	25	13	7	41.6%	29.4%	3.2%	500	91.3	9.0	5.7	10.0	10.0	10.0	10.0	10.0	7.4	10.0	9.3
16	11512	2368	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Harris Creek Subbasin	Ames Creek	King County - DNRP	Ambient Monitoring	07HAR070087	47.652920	-121.960870	7/20/2021	10/20/2021	Fine	8	35	5	7	7	19	16	7	2	61.9%	47.9%	2.6%	194	60.3	2.8	5.7	8.6	7.5	5.3	6.2	2.9	1.9	10.0	9.4
17	12167	2366	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Harris Creek Subbasin	Snoqualmie River tributary (Harris Creek subbasin)	King County - DNRP	Ambient Monitoring	07HAR025863	47.682790	-121.920490	8/23/2022	5/23/2023	Fine	8	37	5	6	5	16	18	6	4	49.2%	12.4%	8.0%	500	57.7	3.4	5.7	7.1	5.0	6.5	5.0	5.7	5.4	5.7	8.1
18	12397	519	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Harris Creek Subbasin	Weiss Creek	King County - DNRP	Regulatory Effectiveness	53E	47.692470	-121.945410	10/3/2022	2/6/2023	Coarse	3	30	8	6	7	21	19	5	7	57.8%	7.8%	19.4%	500	68.6	6.7	10.0	7.1	7.5	8.2	3.8	10.0	6.4	3.4	5.5
19	12806	2603	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Coal Creek (Snoqualmie River)	King County - DNRP	Ambient Monitoring	07PAT228627	47.523697	-121.844634	8/30/2023	4/18/2024	Fine	8	54	6	6	10	22	24	6	5	35.4%	18.8%	6.4%	500	82.2	9.3	7.1	7.1	10.0	10.0	5.0	7.1	9.1	8.9	8.5
20	11873	1817	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Coal Creek (Snoqualmie River)	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	CC	47.526353	-121.840187	8/31/2021	4/16/2022	Fine	7	29	5	5	4	14	16	7	5	51.8%	20.0%	0.0%	195	58.7	0.7	5.7	5.7	3.8	5.3	6.2	7.1	4.6	9.5	10.0
21	11874	1823	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Fisher Creek (Snoqualmie)	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	FC	47.531567	-121.845975	8/31/2021	4/16/2022	Fine	7	40	5	7	6	18	14	8	2	53.0%	46.6%	1.7%	232	63.4	4.5	5.7	8.6	6.2	4.1	7.5	2.9	4.3	10.0	9.6
22	11876	1824	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Kimball Creek	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	KC5	47.535453	-121.830083	8/31/2021	4/16/2022	Fine	7	26	2	0	3	5	11	4	0	85.4%	1.4%	77.8%	500	9.0	0.0	1.4	0.0	2.5	2.4	2.5	0.0	0.0	0.2	0.0
23	11875	1825	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Kimball Creek	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	KCCC	47.527146	-121.834243	8/31/2021	4/16/2022	Fine	7	55	5	4	2	11	18	7	1	35.6%	9.3%	26.9%	495	52.0	9.7	5.7	4.3	1.2	6.5	6.2	1.4	9.0	4.2	3.7
24	11877	1827	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Kimball Creek Subbasin	Kimball Creek	Snoqualmie Tribe	Kimball Creek Water Quality Improvement Project	KCX	47.529480	-121.832746	8/31/2021	4/16/2022	Fine	7	48	3	4	0	7	13	5	1	50.8%	15.4%	21.9%	384	40.1	7.2	2.9	4.3	0.0	3.5	3.8	1.4	4.9	7.2	4.9
25	12813	2601	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Patterson Creek Subbasin	Canyon Creek (Snoqualmie River)	King County - DNRP	Ambient Monitoring	07PAT166087	47.583426	-121.951276	8/28/2023	4/16/2024	Fine	8	49	7	7	8	22	22	11	4	47.2%	8.6%	1.4%	500	77.4	7.6	8.6	8.6	8.8	8.8	10.0	5.7	5.9	3.8	9.7
26	12815	2602	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Patterson Creek Subbasin	Patterson Creek	King County - DNRP	Ambient Monitoring	07PAT187623	47.582202	-121.929938	8/24/2023	4/16/2024	Fine	8	39	4	6	6	16	18	7	2	47.9%	10.6%	0.6%	311	57.8	4.1	4.3	7.1	6.2	6.5	6.2	2.9	5.7	4.8	9.9
27	12186	2217	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Raging River Subbasin	Raging River tributary	King County - DNRP	Ambient Monitoring	07RAG018227	47.479150	-121.892999	9/1/2022	2/1/2023	Fine	8	48	9	8	9	26	26	8	8	54.6%	9.2%	4.0%	500	81.8	7.2	10.0	10.0	10.0	10.0	7.5	10.0	3.9	4.1	9.1
28	12869	2224	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Raging River Subbasin	Snoqualmie River tributary (Raging River subbasin)	King County - DNRP	Ambient Monitoring	07RAG002867	47.498716	-121.919170	9/19/2023	4/16/2024	Fine	8	58	10	10	9	29	25	14	11	28.4%	19.0%	0.4%	500	98.9	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.9
29	12712	2216	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Raging River Subbasin	Snoqualmie River tributary (Raging River subbasin)	King County - DNRP	Ambient Monitoring	07RAG022147	47.457368	-121.836318	9/11/2023	4/18/2024	Fine	8	62	9	10	8	27	21	14	9	42.8%	24.2%	2.2%	500	93.6	10.0	10.0	10.0	8.8	8.2	10.0	10.0	7.1	10.0	9.5
30	12670	2595	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tokul Creek Subbasin	Tokul Creek	King County - DNRP	Ambient Monitoring	07TKL047047	47.580200	-121.781830	7/31/2023	4/16/2024	Fine	8	59	11	8	7	26	30	12	8	25.6%	9.8%	1.6%	500	91.5	10.0	10.0	10.0	7.5	10.0	10.0	10.0	10.0	4.4	9.6
31	12667	2594	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tokul Creek Subbasin	Tokul Creek	King County - DNRP	Ambient Monitoring	07TKL072439	47.621687	-121.784871	7/31/2023	4/18/2024	Fine	8	59	11	9	8	28	28	10	9	23.0%	30.8%	0.2%	500	98.7	10.0	10.0	10.0	8.8	10.0	10.0	10.0	10.0	10.0	10.0
32	12855	2815	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tolt River Subbasin	Lower S Fork Tolt River tributary (0303)	King County - DNRP	Ambient Monitoring	07LNT163403	47.744299	-121.820777	10/4/2023	4/16/2024	Fine	8	43	10	8	7	25	23	7	11	44.6%	12.4%	0.0%	500	81.0	5.5	10.0	10.0	7.5	9.4	6.2	10.0	6.6	5.7	10.0
33	12510	3241	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tolt River Subbasin	Unnamed Tolt River tributary (0294)	Snoqualmie Tribe	Unnamed Tributary to Lower Tolt River 2022	Tolt_trib_lower	47.659630	-121.874710	8/31/2022	4/4/2023	Fine	4.999836	41	4	1	3	8	13	4	0	65.3%	1.4%	24.9%	418	23.1	4.8	4.3	0.0	2.5	3.5	2.5	0.0	1.0	0.2	4.2
34	12511	3240	7	WRIA 7 - Snohomish	Lower Snoqualmie Basin	Tolt River Subbasin	Unnamed Tolt River tributary (0294)	Snoqualmie Tribe	Unnamed Tributary to Lower Tolt River 2022	Tolt_trib_upper	47.660780	-121.872560	9/1/2022	4/4/2023	Fine	5.999804	46	3	6	8	17	21	8	1	49.4%	10.6%	13.4%	500	59.4	6.6	2.9	7.1	8.8	8.2	7.5	1.4	5.3	4.8	6.9
35	13720	508	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Edgewater Creek	City of Everett	Ambient Monitoring	Edg	47.951900	-122.287420	9/6/2024	12/5/2024	Fine	8	19	1	2	1	4	3	1	0	67.8%	1.0%	3.5%	202	10.9	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.3	0.0	9.2
36	13726	505	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Glenwood Creek	City of Everett	Ambient Monitoring	Gle	47.958390	-122.249950	8/14/2024	12/5/2024	Fine	8	27	1	4	2	7	6	3	0	69.8%	7.6%	5.2%	172	18.9	0.0	0.0	4.3	1.2	0.0	1.2	0.0	0.0	3.3	8.8
37	13727	510	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Japanese Creek	City of Everett	Ambient Monitoring	Jap	47.950030	-122.293270	8/14/2024	12/5/2024	Fine	8	31	2	2	5	9	8	5	0	60.0%	3.6%	38.6%	500	18.3	1.4	1.4	1.4	5.0	0.6	3.8	0.0	2.4	1.3	1.0
38	13725	506	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Merrill and Ring Creek	City of Everett	Ambient Monitoring	Mer	47.957990	-122.258860	8/16/2024	12/5/2024	Fine	8	32	2	5	4	11	10	3	0	58.4%	4.1%	24.3%	341	24.4	1.7	1.4	5.7	3.8	1.8	1.2	0.0	2.9	1.6	4.3
39	13722	503	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Pigeon Creek	City of Everett	Ambient Monitoring	Pig1	47.969680	-122.230020	8/30/2024	12/5/2024	Fine	8	14	1	1	2	4	5	1	0	69.7%	6.7%	36.0%	89	5.7	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	2.9	1.6
40	13721	504	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Pigeon Creek	City of Everett	Ambient Monitoring	Pig2	47.963380	-122.239390	9/5/2024	12/5/2024	Fine	8	19	2	3	2	7	8	3	0	43.5%	12.0%	19.4%	108	25.3	0.0	1.4	2.9	1.2	0.6	1.2	0.0	6.9	5.5	5.5
41	13723	507	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Powder Mill Creek	City of Everett	Ambient Monitoring	Pow	47.951610	-122.271310	8/16/2024	12/5/2024	Fine	8	31	2	4	2	8	10	4	0	63.0%	7.8%	12.2%	500	24.8	1.4	1.4	4.3	1.2	1.8	2.5	0.0	1.6	3.4	7.2
42	13724	509	7	WRIA 7 - Snohomish	Snohomish Basin	Everett Subbasin	Woods Creek (Everett)	City of Everett	Ambient Monitoring	Woo	47.924980	-122.185520	8/16/2024	12/5/2024	Fine	8	25	3	4	2	9	10	4	0	56.0%	12.0%	16.0%	100	28.0	0.0	2.9	4.3	1.2	1.8	2.5	0.0	3.5	5.5	6.3
43	13198	3243	7	WRIA 7 - Snohomish	Snohomish Basin	Quilceda Creek Subbasin	Quilceda Creek	The Tulalip Tribes	Tulalip Tribes Watershed Health Stream Monitoring	TTW044HS-WFQC02	48.103692	-122.187208	9/22/2023	5/8/2024	Fine	8	22	1	2	2	5	5	2	0	47.1%	22.9%	21.4%	70	23.6	0.0	0.0	1.4	1.2	0.0	0.0	0.0	5.9	10.0	5.0
44	13197	3244	7	WRIA 7 - Snohomish	Snohomish Basin	Tulalip Creek Subbasin	Tulalip Creek	The Tulalip Tribes	Tulalip Tribes Watershed Health Stream Monitoring	TTW044HS-TULA01	48.073874	-122.285486	9/15/2023	5/8/2024	Fine	8	44	4	7	6	17	18	6	2	55.8%	9.0%	3.0%	500	56.2	5.9	4.3	8.6	6.2	6.5	5.0	2.9	3.6	4.0	9.3
45	12986	2374	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS026663	47.544336	-121.543278	9/21/2023	5/17/2024	Fine	8	39	6	5	7	18	24	9	6	55.2%	20.6%	0.0%	500	75.3	4.1	7.1	5.7	7.5	10.0	8.8	8.6	3.7	9.8	10.0
46	12710	2362	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS033235	47.516840	-121.611660	9/7/2023	4/18/2024	Fine	8	57	11	8	10	29	32	4	9	40.8%	13.4%	6.0%	500	84.9	10.0	10.0	10.0	10.0	10.0	2.5	10.0	7.6	6.2	8.6
47	12863	2363	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS055075	47.488376	-121.719565	9/19/2023	4/16/2024	Fine	8	58	8	12	10	30	25	9	12	44.0%	22.6%	0.8%	500	95.3	10.0	10.0	10.0	10.0	10.0	8.8	10.0	6.8	10.0	9.8
48	12985	2365	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS093027	47.486270	-121.757711	9/21/2023	5/17/2024	Fine	8	41	6	8	6	20	24	7	4	72.4%	7.4%	1.6%	500	63.0	4.8	7.1	10.0	6.2	10.0	6.2	5.7	0.0	3.2	9.6
49	12984	2591	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS103591	47.543240	-121.541460	9/21/2023	5/17/2024	Fine	8	53	9	9	12	30	28	9	10	33.8%	12.4%	0.0%	500	92.9	9.0	10.0	10.0	10.0	10.0	8.8	10.0	9.5	5.7	10.0
50	12711	2604	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	Lower Middle Fork Snoqualmie Subbasin	Snoqualmie River - Middle Fork tributary (Lower)	King County - DNRP	Ambient Monitoring	07LMS213875	47.495175	-121.640286	9/7/2023	4/16/2024	Fine	8	58	9	8	11	28	34	6	7	41.2%	9.0%	1.4%	500	86.2	10.0	10.0	10.0	10.0	10.0	5.0	10.0	7.5	4.0	9.7
51	12804	2383	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS009443	47.467888	-121.752865	8/28/2023	4/16/2024	Fine	8	55	9	5	10	24	33	5	7	39.2%	20.2%	0.4%	500	86.7	9.7	10.0	5.7	10.0	10.0	3.8	10.0	8.1	9.6	9.9
52	12983	2222	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS011059	47.488057	-121.785286	9/6/2023	5/17/2024	Fine	8	57	11	7	7	25	31	7	5	54.8%	6.8%	5.8%	500	74.9	10.0	10.0	8.6	7.5	10.0	6.2	7.1	3.8	2.9	8.7
53	12982	2221	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS011475	47.440617	-121.666430	9/6/2023	5/17/2024	Fine	8	47	6	6	6	18	19	5	6	57.8%	6.0%	5.8%	500	61.0	6.9	7.1	7.1	6.2	7.1	3.8	8.6	3.0	2.5	8.7
54	12750	2384	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS041891	47.470956	-121.772703	8/28/2023	4/18/2024	Fine	8	56	10	7	6	23	28	6	5	37.4%	6.8%	3.0%	500	77.7	10.0	10.0	8.6	6.2	10.0	5.0	7.1	8.5	2.9	9.3
55	12734	2389	7	WRIA 7 - Snohomish	Snoqualmie Forks Basin	S Fork Snoqualmie Subbasin	Snoqualmie River - S Fork tributary	King County - DNRP	Ambient Monitoring	07SFS066611	47.440732	-121.649546	8/23/2023	5/17/2024	Fine	8	54	3	14	6	23	15	8	2	37.4%	15.4%	0.2%	500	69.2	9.3	2.9	10.0	6.2	4.7	7.5	2.9	8.5	7.2	10.0
56	12669	136	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	King County - DNRP	Ambient Monitoring	08EAS2446	47.552530	-122.165120	7/19/2023	4/18/2024	Fine	8	49	3	7	6	16	17	5	1	38.4%	12.4%	1.0%	500	60.1	7.6	2.9	8.6	6.2	5.9	3.8	1.4	8.3	5.7	9.8
57	12877	1939	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalBelRM1.3	47.562500	-122.171400	10/2/2023	3/20/2024	Fine	8	36	1	4	4	9	12	5	1	66.8%	3.4%	3.6%	500	30.2	3.1	0.0	4.3	3.8	2.9	3.8	1.4	0.6	1.2	9.2
58	12771	571	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalBelRM4.0	47.541777	-122.141785	8/2/2023	3/20/2024	Fine	8	46	4	6	8	18	20	9	0	48.8%	9.0%	6.2%	500	61.1	6.6	4.3	7.1	8.8	7.6	8.8	0.0	5.5	4.0	8.6
59	12774	3097	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalLow_21	47.566100	-122.178700	8/31/2023	3/20/2024	Fine	8	38	1	3	4	8	15	4	1	59.4%	1.4%	14.2%	500	28.5	3.8	0.0	2.9	3.8	4.7	2.5	1.4	2.6	0.2	6.7
60	12779	3101	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalRedtown_21	47.537180	-122.132080	8/2/2023	3/20/2024	Fine	8	37	3	6	3	12	11	4	0	58.9%	9.6%	8.0%	436	36.0	3.4	2.9	7.1	2.5	2.4	2.5	0.0	2.7	4.3	8.1
61	12769	3091	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.)	City of Bellevue	Macroinvertebrates	CoalSkagit_21	47.572800	-122.188900	8/31/2023	3/20/2024	Fine	8	23	2	3	3	8	12	3	1	86.6%	0.4%	4.2%	500	21.4	0.0	1.4	2.9	2.5	2.9	1.2	1.4	0.0	0.0	9.0
62	12665	137	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.) tributary (0273)	King County - DNRP	Ambient Monitoring	08EAS2540	47.550172	-122.156867	7/19/2023	4/1/2024	Fine	8	39	3	4	4	11	10	6	0	55.2%	9.4%	11.4%	500	37.1	4.1	2.9	4.3	3.8	1.8	5.0	0.0	3.7	4.2	7.3
63	12874	3102	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Coal Creek (Lake Wash.) tributary (0275)	City of Bellevue	Macroinvertebrates	NewcastleTrib_21	47.553200	-122.166500	10/2/2023	3/20/2024	Fine	8	26	1	4	3	8	11	4	1	78.1%	5.3%	1.6%	187	24.8	0.0	0.0	4.3	2.5	2.4	2.5	1.4	0.0	2.2	9.6
64	12873	2608	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	Coal Creek (Cedar) Subbasin	Newport Creek	City of Bellevue	Macroinvertebrates	NewpBelRM0.0	47.566200	-122.180100	10/2/2023	3/20/2024	Fine	8	32	1	3	4	8	9	3	0	69.6%	5.2%	27.8%	500	16.4	1.7	0.0	2.9	3.8	1.2	1.2	0.0	0.0	2.1	3.5
65	13165	1856	8	WRIA 8 - Cedar-Sammamish	Cedar River / Lake Washington Basin	E Lake Washington - Bellevue N Subbasin	Cochran Springs Creek	City of Kirkland	B-IBI	CochranKirk1	47.645496	-122.202811	8/28/2023	5/8/2024	Fine	8	18	1	3	2	6	7	5	0	84.7%	4.3%	83.8%	235	9.5	0.0	0.0	2.9	1.2	0.0	3.8	0.0	0.0	1.7	0.0
