Row,Site ID,WRIA,Basin,Subbasin,Stream,Agency,Project,Site Code,Latitude,Longitude,2020,2021,2022,2023,2024
14,2793,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Whatcom Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,WHCR_1.96,48.754617,-122.453841,43,,,,
15,2691,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Bellingham Bay Subbasin,Whatcom Creek,City of Bellingham,Annual Macroinvertebrate Monitoring Program,WHCR_2.60,48.756772,-122.443561,28.9,,,,
16,970,WRIA 1 - Nooksack,Whatcom-Chuckanut Basin,Lake Whatcom Subbasin,Austin Creek,Washington State Department of Ecology,Ambient Freshwater Biological Monitoring Program,BIO06600-AUST02,48.7065,-122.34257,,94.1,,,
17,3227,WRIA 3 - Lower Skagit / Samish,Fidalgo Basin,Fidalgo Island Subbasin,Fornsby Creek,Swinomish Indian Tribal Community,Swinomish Indian Tribal Community Stream Bioassessment Monitoring,FOR,48.43183,-122.516582,,,46.8,25.7,40.2
18,3226,WRIA 3 - Lower Skagit / Samish,Fidalgo Basin,Fidalgo Island Subbasin,Munks Creek,Swinomish Indian Tribal Community,Swinomish Indian Tribal Community Stream Bioassessment Monitoring,MUN,48.420065,-122.50242,,,38.4,27.1,20.1
19,3228,WRIA 3 - Lower Skagit / Samish,Fidalgo Basin,Fidalgo Island Subbasin,SneeOosh Creek,Swinomish Indian Tribal Community,Swinomish Indian Tribal Community Stream Bioassessment Monitoring,SNE,48.395991,-122.535501,,,26.3,42.4,25.7
20,520,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Cherry Creek,King County - DNRP,Regulatory Effectiveness,05B,47.740049,-121.941377,87.5,65.9,79.6,,
21,3492,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Cherry Creek,King County - DNRP,Integrated Streams Program,07CHR_bug1,47.743071,-121.941343,,,,,48.7
22,2369,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Cherry Creek,King County - DNRP,Ambient Monitoring,07CHR045515,47.74605,-121.89852,86.7,64.9,74.9,80.3,81.8
23,2377,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Cherry Creek,King County - DNRP,Ambient Monitoring,07CHR234411,47.7417,-121.93982,56.7,57,43.3,82.5,83.6
24,2371,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Margaret Creek,King County - DNRP,Ambient Monitoring,07CHR070059,47.75381,-121.8941,83.9,87.2,69.7,95.7,89.6
25,3493,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Griffin Creek,King County - DNRP,Integrated Streams Program,07GRN_bug1,47.616399,-121.907007,,,,,84.7
26,2592,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Griffin Creek,King County - DNRP,Ambient Monitoring,07GRN022903,47.610886,-121.864122,75,72.8,70.5,69.5,69.2
27,2376,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Griffin Creek,King County - DNRP,Ambient Monitoring,07GRN077319,47.615841,-121.900707,54.2,59.7,61.2,75.1,75.8
28,1235,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Griffin Creek,Washington State Department of Ecology,Status and Trends WA Statewide Sentinel Site Monitoring,SEN06600-GRIF09,47.60463,-121.88505,32.9,83.9,77.8,88.4,
29,2225,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Mud Creek,King County - DNRP,Ambient Monitoring,07PAT001415,47.56475,-121.853444,43,33.7,58.1,79.4,73.5
30,2599,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Snoqualmie River tributary (0430),King County - DNRP,Ambient Monitoring,07PAT231079,47.54926,-121.88884,90.6,92.9,75.5,91.3,91.9
31,2368,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Harris Creek Subbasin,Ames Creek,King County - DNRP,Ambient Monitoring,07HAR070087,47.65292,-121.96087,76.5,60.3,,,85.6
32,2366,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Harris Creek Subbasin,Snoqualmie River tributary (Harris Creek subbasin),King County - DNRP,Ambient Monitoring,07HAR025863,47.68279,-121.92049,75,70.1,57.7,,64.2
33,519,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Harris Creek Subbasin,Weiss Creek,King County - DNRP,Regulatory Effectiveness,53E,47.69247,-121.94541,79.7,68.4,68.6,,
34,2603,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Kimball Creek Subbasin,Coal Creek (Snoqualmie River),King County - DNRP,Ambient Monitoring,07PAT228627,47.523697,-121.844634,64.8,67.2,91,82.2,87.9
35,1817,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Kimball Creek Subbasin,Coal Creek (Snoqualmie River),Snoqualmie Tribe,Kimball Creek Water Quality Improvement Project,CC,47.526353,-121.840187,,58.7,,,
36,1823,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Kimball Creek Subbasin,Fisher Creek (Snoqualmie),Snoqualmie Tribe,Kimball Creek Water Quality Improvement Project,FC,47.531567,-121.845975,,63.4,,,
37,1824,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Kimball Creek Subbasin,Kimball Creek,Snoqualmie Tribe,Kimball Creek Water Quality Improvement Project,KC5,47.535453,-121.830083,,9,,,
38,1825,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Kimball Creek Subbasin,Kimball Creek,Snoqualmie Tribe,Kimball Creek Water Quality Improvement Project,KCCC,47.527146,-121.834243,,52,,,
39,1827,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Kimball Creek Subbasin,Kimball Creek,Snoqualmie Tribe,Kimball Creek Water Quality Improvement Project,KCX,47.52948,-121.832746,,40.1,,,
40,2601,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Patterson Creek Subbasin,Canyon Creek (Snoqualmie River),King County - DNRP,Ambient Monitoring,07PAT166087,47.583426,-121.951276,49.1,72.7,69,77.4,76.1
41,3494,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Patterson Creek Subbasin,Patterson Creek,King County - DNRP,Integrated Streams Program,07PAT_bug1,47.579661,-121.933707,,,,,45.8
42,2602,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Patterson Creek Subbasin,Patterson Creek,King County - DNRP,Ambient Monitoring,07PAT187623,47.582202,-121.929938,47.2,27.1,33.7,57.8,48.7
43,2217,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Raging River Subbasin,Raging River tributary,King County - DNRP,Ambient Monitoring,07RAG018227,47.47915,-121.892999,80.1,91.4,81.8,,
44,2224,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Raging River Subbasin,Snoqualmie River tributary (Raging River subbasin),King County - DNRP,Ambient Monitoring,07RAG002867,47.498716,-121.91917,91.7,90.2,98.5,98.9,95.5
45,2216,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Raging River Subbasin,Snoqualmie River tributary (Raging River subbasin),King County - DNRP,Ambient Monitoring,07RAG022147,47.457368,-121.836318,97.4,88.2,94.2,93.6,93.4
46,2595,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tokul Creek Subbasin,Tokul Creek,King County - DNRP,Ambient Monitoring,07TKL047047,47.5802,-121.78183,91.5,92.8,93.7,91.5,86
47,2594,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tokul Creek Subbasin,Tokul Creek,King County - DNRP,Ambient Monitoring,07TKL072439,47.621687,-121.784871,89.1,94.8,98.5,98.7,98.2
48,2815,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tolt River Subbasin,Lower S Fork Tolt River tributary (0303),King County - DNRP,Ambient Monitoring,07LNT163403,47.744299,-121.820777,83.9,88.4,91.3,81,91.7
49,3463,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tolt River Subbasin,Tolt River - N Fork,Wild Fish Conservancy,NF Tolt,NFTolt_STAF_S1R1,47.745389,-121.697417,,,,81.7,
50,3464,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tolt River Subbasin,Tolt River - N Fork,Wild Fish Conservancy,NF Tolt,NFTolt_STAF_S2R1,47.74605,-121.656918,,,,67.9,
51,3465,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tolt River Subbasin,Tolt River - N Fork,Wild Fish Conservancy,NF Tolt,NFTolt_STAF_S3R1,47.75297,-121.620375,,,,72.8,
52,3241,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tolt River Subbasin,Unnamed Tolt River tributary (0294),Snoqualmie Tribe,Unnamed Tributary to Lower Tolt River 2022,Tolt_trib_lower,47.65963,-121.87471,,,23.1,,
53,3240,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tolt River Subbasin,Unnamed Tolt River tributary (0294),Snoqualmie Tribe,Unnamed Tributary to Lower Tolt River 2022,Tolt_trib_upper,47.66078,-121.87256,,,59.4,,
54,508,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Edgewater Creek,City of Everett,Ambient Monitoring,Edg,47.9519,-122.28742,,10.3,6.1,12,10.9
55,505,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Glenwood Creek,City of Everett,Ambient Monitoring,Gle,47.95839,-122.24995,,39.4,10.2,40.5,18.9
56,510,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Japanese Creek,City of Everett,Ambient Monitoring,Jap,47.95003,-122.29327,,22.1,4.7,9.6,18.3
57,506,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Merrill and Ring Creek,City of Everett,Ambient Monitoring,Mer,47.95799,-122.25886,,27.6,11.8,26.4,24.4
58,503,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Pigeon Creek,City of Everett,Ambient Monitoring,Pig1,47.96968,-122.23002,,7.6,2.7,8.9,5.7
59,504,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Pigeon Creek,City of Everett,Ambient Monitoring,Pig2,47.96338,-122.23939,,16.2,19.4,31.6,25.3
60,507,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Powder Mill Creek,City of Everett,Ambient Monitoring,Pow,47.95161,-122.27131,,29.1,10.7,33.8,24.8
61,509,WRIA 7 - Snohomish,Snohomish Basin,Everett Subbasin,Woods Creek (Everett),City of Everett,Ambient Monitoring,Woo,47.92498,-122.18552,,24,7.3,26,28
62,3243,WRIA 7 - Snohomish,Snohomish Basin,Quilceda Creek Subbasin,Quilceda Creek,The Tulalip Tribes,Tulalip Tribes Watershed Health Stream Monitoring,TTW044HS-WFQC02,48.103692,-122.187208,,,40.9,23.6,32.9
63,3244,WRIA 7 - Snohomish,Snohomish Basin,Tulalip Creek Subbasin,Tulalip Creek,The Tulalip Tribes,Tulalip Tribes Watershed Health Stream Monitoring,TTW044HS-TULA01,48.073874,-122.285486,,,63.7,56.2,71.2
64,2374,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS026663,47.544336,-121.543278,76.8,83.6,72.5,75.3,86.7
65,2362,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS033235,47.51684,-121.61166,88.1,94.8,89.8,84.9,81.2
66,2363,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS055075,47.488376,-121.719565,78,83.9,81.5,95.3,81.9
67,2365,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS093027,47.48627,-121.757711,63.6,67.8,68.6,63,
68,2591,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS103591,47.54324,-121.54146,87.2,92,95.9,92.9,94.4
69,2604,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS213875,47.495175,-121.640286,91.5,73.4,69.6,86.2,88.4
70,2383,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS009443,47.467888,-121.752865,45.2,82.5,54.6,86.7,76
71,2222,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS011059,47.488057,-121.785286,77.2,76.9,70.7,74.9,56.4
72,2221,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS011475,47.440617,-121.66643,77.9,77.1,79.8,61,85.7
73,2384,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS041891,47.470956,-121.772703,63.6,62.8,63.8,77.7,80
74,2389,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS066611,47.440732,-121.649546,68.6,78.1,61.4,69.2,66.4
75,136,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.),King County - DNRP,Ambient Monitoring,08EAS2446,47.55253,-122.16512,45.2,62.3,28.2,60.1,53.4
76,1939,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.),City of Bellevue,Macroinvertebrates,CoalBelRM1.3,47.5625,-122.1714,,33.6,7.3,30.2,16.7
77,571,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.),City of Bellevue,Macroinvertebrates,CoalBelRM4.0,47.541777,-122.141785,,53.8,52.6,61.1,78.6
78,3097,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.),City of Bellevue,Macroinvertebrates,CoalLow_21,47.5661,-122.1787,,16.6,17.7,28.5,10.1
79,3101,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.),City of Bellevue,Macroinvertebrates,CoalRedtown_21,47.53718,-122.13208,,34.6,56.6,36,38.2
80,3091,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.),City of Bellevue,Macroinvertebrates,CoalSkagit_21,47.5728,-122.1889,,13.9,19.6,21.4,13.5
81,137,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.) tributary (0273),King County - DNRP,Ambient Monitoring,08EAS2540,47.550172,-122.156867,40.5,28.5,29.3,37.1,38
82,3102,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.) tributary (0275),City of Bellevue,Macroinvertebrates,NewcastleTrib_21,47.5532,-122.1665,,35.8,29.7,24.8,35
83,2608,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Newport Creek,City of Bellevue,Macroinvertebrates,NewpBelRM0.0,47.5662,-122.1801,,13.2,2,16.4,5.6
84,1856,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Bellevue N Subbasin,Cochran Springs Creek,City of Kirkland,B-IBI,CochranKirk1,47.645496,-122.202811,29.4,18.9,,9.5,21.7
85,3499,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Bellevue N Subbasin,Fairweather Creek,King County - DNRP,Integrated Streams Program,08EAS_bug1,47.636489,-122.230667,,,,,12
86,3099,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Bellevue N Subbasin,Yarrow Creek Subbasin,City of Bellevue,Macroinvertebrates,YarrowMain_21,47.63967,-122.18577,,37.4,40.1,52.4,39.6
87,1940,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Bellevue N Subbasin,Yarrow Creek Subbasin,City of Bellevue,Macroinvertebrates,YarrowWestTribBelRM0.2,47.64225,-122.20417,,19.2,12.3,8.6,9.5
88,1229,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Bellevue S Subbasin,Lakehurst Creek,City of Bellevue,Macroinvertebrates,Lkhrst405RM0.3,47.55537,-122.188856,,1.2,3,,1.4
89,204,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Kenmore N Subbasin,Lake Washington tributary (0056),King County - DNRP,Ambient Monitoring,08WES1178,47.766499,-122.263888,7.7,8.1,4.1,16.8,9.6
90,131,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Kenmore S Subbasin,Denny Creek,King County - DNRP,Ambient Monitoring,08EAS1536,47.709929,-122.248781,15,32.2,22.4,27.6,26.9
91,134,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Forbes Creek Subbasin,Forbes Creek (0242),King County - DNRP,Ambient Monitoring,08EAS2191,47.695551,-122.197014,4.1,13.4,5.7,13.6,
92,559,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Forbes Creek Subbasin,Forbes Creek (0242),City of Kirkland,B-IBI,ForbesKirk1,47.696825,-122.183463,22.7,9.4,,13.3,
93,560,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Forbes Creek Subbasin,Forbes Creek (0242),City of Kirkland,B-IBI,ForbesKirk2,47.696664,-122.188156,12.3,19,21,,1.6
94,1602,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Juanita Creek Subbasin,Juanita Creek,City of Kirkland,B-IBI,BillyKirk1,47.713408,-122.215624,19.6,17.1,,13.9,
95,1604,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Juanita Creek Subbasin,Juanita Creek,City of Kirkland,B-IBI,E1186,47.7258,-122.1928,26.9,26.6,24.1,,14.1
96,1862,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Juanita Creek Subbasin,Juanita Creek,City of Kirkland,B-IBI,HazenHills,47.719,-122.179,0.7,1.5,,3,
97,555,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Juanita Creek Subbasin,Juanita Creek,City of Kirkland,B-IBI,JuanitaKirk1,47.715982,-122.207378,19.6,17.8,25.5,,13.2
98,557,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Juanita Creek Subbasin,Juanita Creek,City of Kirkland,B-IBI,JuanitaKirk3,47.711081,-122.210285,21.9,19,,26.3,
99,558,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Juanita Creek Subbasin,Juanita Creek,City of Kirkland,B-IBI,JuanitaKirk4,47.707183,-122.215498,12,18.6,30.6,,19.8
100,1603,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Juanita Creek Subbasin,Juanita Creek,City of Kirkland,B-IBI,KingsgateKirk1,47.721479,-122.196523,0.3,4.8,8.8,,14.2
101,138,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,East Creek,King County - DNRP,Ambient Monitoring,08EAS2546,47.582723,-122.157426,1,3.5,0,1.2,2.6
102,3095,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Goff Creek,City of Bellevue,Macroinvertebrates,Goff132nd_21,47.6199,-122.164,,11.5,11.3,10.7,7.4
103,563,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Goff Creek,City of Bellevue,Macroinvertebrates,GoffBelRM1.4,47.631,-122.166,,,23.9,11.7,6.9
104,3112,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Goff Creek,City of Bellevue,Macroinvertebrates,GoffUsBp_21,47.631735,-122.16622,,7.2,,,
105,135,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Kelsey Creek,King County - DNRP,Ambient Monitoring,08EAS2272,47.623286,-122.156843,26.8,30.5,20.1,14.2,18.2
106,570,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Kelsey Creek,City of Bellevue,Macroinvertebrates,KelBelRM0.2,47.603,-122.181,,21.2,23.4,17.1,18.4
107,565,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Kelsey Creek,City of Bellevue,Macroinvertebrates,KelBelRM2.3,47.614,-122.164,,,24.2,,
108,566,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Kelsey Creek,City of Bellevue,Macroinvertebrates,KelBelRM2.4,47.616,-122.164,,27.6,,21,21.2
109,569,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Kelsey Creek,City of Bellevue,Macroinvertebrates,KelBelRM3.9,47.62079,-122.14449,,,16.2,16,5.7
110,1228,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,"Kelsey Creek, West Tributary",City of Bellevue,Macroinvertebrates,WestTribFarmRM0.4,47.604893,-122.164781,,10.2,10.8,25.8,8.4
111,3109,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Valley Creek (Bellevue),City of Bellevue,Macroinvertebrates,ValleyAPTS_21,47.63264,-122.15215,,21.1,25.5,26.6,18.3
112,3094,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Valley Creek (Bellevue),City of Bellevue,Macroinvertebrates,ValleyBGC_21,47.6534,-122.1516,,10.7,15.7,8.7,14.6
113,123,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Cedar River - Lower tributary (0311),King County - DNRP,Ambient Monitoring,08CED2898,47.461466,-122.125545,51.1,54.3,58.6,52.3,52.3
114,127,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Hotel Creek (0342),King County - DNRP,Ambient Monitoring,08CED4975,47.410569,-121.921792,,,72.2,,
115,122,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Madsen Creek,King County - DNRP,Ambient Monitoring,08CED2711,47.453235,-122.137979,14.1,31.6,28.3,32.8,33.9
116,120,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Maplewood Creek,King County - DNRP,Ambient Monitoring,08CED2433,47.474227,-122.163593,23.1,37.8,35.5,41.5,37.5
117,121,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Molasses Creek,King County - DNRP,Ambient Monitoring,08CED2518,47.466759,-122.159109,49.3,55.5,42.7,65.4,35.1
118,125,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Rock Creek (Lower Cedar),King County - DNRP,Ambient Monitoring,08CED4192,47.374751,-122.017672,92.8,93.8,85.7,92.9,83.8
119,518,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Taylor Creek/Jem Creek (Lower Cedar),King County - DNRP,Regulatory Effectiveness,31I,47.409127,-122.025259,70.6,82.5,89.3,,
120,3497,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Webster Creek - Upper (0341),King County - DNRP,Ambient Monitoring,08CED_bug1,47.416205,-121.919618,,,,,81.7
