"Site.ID","Basin","Stream","Agency","Project","X2023","X2022","X2021","X2020","mean_BIBI","tercile_BIBI","trend_BIBI","long","lat","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER","local100_imp_coverage","local200_imp_coverage","OBJECTID","TNMID","MetaSource","LoadDate","NonContrib","NonContr_1","AreaSqKm","AreaAcres","GNIS_ID","Name","States","HUC12","HUType","HUMod","ToHUC","Shape_Leng","Shape_Area","STATEFP.1","COUNTYFP.1","COUNTYNS.1","AFFGEOID.1","GEOID.1","NAME.1","NAMELSAD.1","STUSPS.1","STATE_NAME.1","LSAD.1","ALAND.1","AWATER.1","drainage_imp_coverage"
2389,"Snoqualmie Forks Basin","Snoqualmie River - S Fork tributary","King County - DNRP","Ambient Monitoring",69.2,62.8,78.1,70.1,70.05,"High",-1.8,-121.649546,47.440732,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,88,"{65DA47A7-3D1F-4F7C-A7CB-2DC0DDAEDD73}","{8A73A715-CE6B-4D93-8734-23C3DB84EF3B}","2013/01/18 07:09:32.000",0,0,105.91,26171.94,NA,"Lower South Fork Snoqualmie River","WA","171100100302","S","NM","171100100404",207806.582316291,1140109885.27792,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0503505596206308
2217,"Lower Snoqualmie Basin","Raging River tributary","King County - DNRP","Ambient Monitoring",NA,81.8,91.4,80.1,84.4333333333333,"High",0.849999999998798,-121.892999,47.47915,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0.0186524822695035,89,"{10D56CAA-9AA1-4777-BFF9-1380A32C2B09}","{F746928A-1924-484F-AC2A-BAAF68D23550}","2016/12/21 12:30:04.000",0,0,83.75,20695.38,NA,"Raging River","WA","171100100402","S","NM","171100100404",178406.190582144,901556401.55709,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0174938197295729
2224,"Lower Snoqualmie Basin","Snoqualmie River tributary (Raging River subbasin)","King County - DNRP","Ambient Monitoring",98.9,98.5,90.2,91.7,94.825,"High",2.99,-121.91917,47.498716,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,89,"{10D56CAA-9AA1-4777-BFF9-1380A32C2B09}","{F746928A-1924-484F-AC2A-BAAF68D23550}","2016/12/21 12:30:04.000",0,0,83.75,20695.38,NA,"Raging River","WA","171100100402","S","NM","171100100404",178406.190582144,901556401.55709,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0174938197295729
2216,"Lower Snoqualmie Basin","Snoqualmie River tributary (Raging River subbasin)","King County - DNRP","Ambient Monitoring",93.6,94.2,88.2,97.4,93.35,"High",-0.540000000000009,-121.836318,47.457368,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,89,"{10D56CAA-9AA1-4777-BFF9-1380A32C2B09}","{F746928A-1924-484F-AC2A-BAAF68D23550}","2016/12/21 12:30:04.000",0,0,83.75,20695.38,NA,"Raging River","WA","171100100402","S","NM","171100100404",178406.190582144,901556401.55709,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0174938197295729
2592,"Lower Snoqualmie Basin","Griffin Creek","King County - DNRP","Ambient Monitoring",69.5,70.5,72.8,75,71.95,"High",-1.88,-121.864122,47.610886,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0.000143884892086331,90,"{D26D3C0C-30A5-474E-8E10-D194C7D9BB18}",NA,"2013/01/18 07:09:32.000",0,0,44.06,10886.41,NA,"Griffin Creek","WA","171100100403","S","NM","171100100404",150430.209176106,474288038.358259,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00113927929400229
2376,"Lower Snoqualmie Basin","Griffin Creek","King County - DNRP","Ambient Monitoring",75.1,61.2,59.7,54.2,62.55,"Mid",6.42,-121.900707,47.615841,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00648648648648649,0.0143884892086331,90,"{D26D3C0C-30A5-474E-8E10-D194C7D9BB18}",NA,"2013/01/18 07:09:32.000",0,0,44.06,10886.41,NA,"Griffin Creek","WA","171100100403","S","NM","171100100404",150430.209176106,474288038.358259,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00113927929400229
1235,"Lower Snoqualmie Basin","Griffin Creek","Washington State Department of Ecology","Status and Trends WA Statewide Sentinel Site Monitoring",NA,77.8,83.9,32.9,64.8666666666667,"Mid",22.4499999999911,-121.88505,47.60463,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,90,"{D26D3C0C-30A5-474E-8E10-D194C7D9BB18}",NA,"2013/01/18 07:09:32.000",0,0,44.06,10886.41,NA,"Griffin Creek","WA","171100100403","S","NM","171100100404",150430.209176106,474288038.358259,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00113927929400229
2225,"Lower Snoqualmie Basin","Mud Creek","King County - DNRP","Ambient Monitoring",79.4,58.1,33.7,43,53.55,"Mid",13.36,-121.853444,47.56475,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
2599,"Lower Snoqualmie Basin","Snoqualmie River tributary (0430)","King County - DNRP","Ambient Monitoring",91.3,75.5,92.9,90.6,87.575,"High",-1.53,-121.88884,47.54926,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0154285714285714,0.0329787234042553,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
2603,"Lower Snoqualmie Basin","Coal Creek (Snoqualmie River)","King County - DNRP","Ambient Monitoring",82.2,91,67.2,64.8,76.3,"High",7.6,-121.844634,47.523697,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0105405405405405,0.0576428571428571,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
1817,"Lower Snoqualmie Basin","Coal Creek (Snoqualmie River)","Snoqualmie Tribe","Kimball Creek Water Quality Improvement Project",NA,NA,58.7,NA,58.7,"Mid",NA,-121.840187,47.526353,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0721875,0.14375,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
1823,"Lower Snoqualmie Basin","Fisher Creek (Snoqualmie)","Snoqualmie Tribe","Kimball Creek Water Quality Improvement Project",NA,NA,63.4,NA,63.4,"Mid",NA,-121.845975,47.531567,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0414285714285714,0.144202898550725,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
1824,"Lower Snoqualmie Basin","Kimball Creek","Snoqualmie Tribe","Kimball Creek Water Quality Improvement Project",NA,NA,9,NA,9,"Low",NA,-121.830083,47.535453,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0937837837837838,0.0930714285714286,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
1825,"Lower Snoqualmie Basin","Kimball Creek","Snoqualmie Tribe","Kimball Creek Water Quality Improvement Project",NA,NA,52,NA,52,"Mid",NA,-121.834243,47.527146,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0866666666666667,0.13963768115942,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
1827,"Lower Snoqualmie Basin","Kimball Creek","Snoqualmie Tribe","Kimball Creek Water Quality Improvement Project",NA,NA,40.1,NA,40.1,"Low",NA,-121.832746,47.52948,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.174571428571429,0.197214285714286,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
2601,"Lower Snoqualmie Basin","Canyon Creek (Snoqualmie River)","King County - DNRP","Ambient Monitoring",77.4,70.4,72.7,49.1,67.4,"High",8.26,-121.951276,47.583426,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0.0393478260869565,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
2602,"Lower Snoqualmie Basin","Patterson Creek","King County - DNRP","Ambient Monitoring",57.8,33.7,27.1,47.2,41.45,"Mid",3.84,-121.929938,47.582202,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0021875,0.0140972222222222,91,"{1579FAC6-FD1D-47FD-B071-4F57909448D7}",NA,"2013/01/18 07:09:32.000",0,0,149.39,36913.96,NA,"Patterson Creek-Snoqualmie River","WA","171100100404","S","NM","171100100601",338097.38586574,1608174066.29157,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0618054384231705
2815,"Lower Snoqualmie Basin","Lower S Fork Tolt River tributary (0303)","King County - DNRP","Ambient Monitoring",81,91.3,88.4,83.9,86.15,"High",-0.580000000000001,-121.820777,47.744299,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0,0,93,"{5B9E4A36-B8AB-4BB4-9A96-63F86B26639A}",NA,"2013/01/18 07:09:32.000",0,0,60.98,15069.29,NA,"Lower North Fork Tolt River","WA","171100100502","S","NM","171100100504",149326.884800409,656570419.758954,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.00329386885880653
251,"Duwamish - Green River Basin","Mill Creek (Auburn)","King County - DNRP","Ambient Monitoring",42,60.7,44.9,51,49.65,"Mid",-1.12,-122.272324,47.303209,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.275428571428571,0.211884057971015,654,"{E9399724-9173-4EF4-92DD-37465E078C59}",NA,"2013/01/18 07:09:32.000",0,0,63.14,15603.34,NA,"Mill Creek-Green River","WA","171100130304","S","GC,CD","171100130305",140525.769343877,679675962.607898,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.427364775302518
252,"Duwamish - Green River Basin","Mill Creek (Auburn)","King County - DNRP","Ambient Monitoring",39.3,40.4,52,36,41.925,"Mid",-0.170000000000002,-122.260837,47.303166,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.316285714285714,0.201884057971014,654,"{E9399724-9173-4EF4-92DD-37465E078C59}",NA,"2013/01/18 07:09:32.000",0,0,63.14,15603.34,NA,"Mill Creek-Green River","WA","171100130304","S","GC,CD","171100130305",140525.769343877,679675962.607898,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.427364775302518
210,"Duwamish - Green River Basin","Garrison Creek - S Fork","King County - DNRP","Ambient Monitoring",35.9,24.5,21.5,22.8,26.175,"Low",4.23,-122.216196,47.407005,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.141142857142857,0.189855072463768,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
208,"Duwamish - Green River Basin","Mill Creek (Kent)","King County - DNRP","Ambient Monitoring",18,35.1,20.2,38.6,27.975,"Low",-4.69,-122.221081,47.381499,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.246764705882353,0.376546762589928,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
209,"Duwamish - Green River Basin","Mill Creek (Kent)","King County - DNRP","Ambient Monitoring",30.9,28.7,30.5,31.7,30.45,"Low",-0.420000000000003,-122.223995,47.382722,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.336388888888889,0.446312056737589,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
211,"Duwamish - Green River Basin","Mill Creek (Kent)","King County - DNRP","Ambient Monitoring",NA,28.2,14.5,NA,21.35,"Low",13.7000000000021,-122.208823,47.369338,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0785714285714286,0.290875912408759,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
213,"Duwamish - Green River Basin","Panther Creek (Black River)","King County - DNRP","Ambient Monitoring",32.4,28.9,29.3,18.1,27.175,"Low",4.25,-122.207574,47.442177,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.294117647058824,0.292285714285714,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
214,"Duwamish - Green River Basin","Panther Creek (Black River)","King County - DNRP","Ambient Monitoring",19.2,17.2,35.1,22.4,23.475,"Low",-2.75,-122.211052,47.445022,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.342647058823529,0.467625899280576,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
212,"Duwamish - Green River Basin","Springbrook Creek (Black River)","King County - DNRP","Ambient Monitoring",NA,53.6,55.9,41,50.1666666666667,"Mid",6.29999999999745,-122.214069,47.428348,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.165,0.183597122302158,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
216,"Duwamish - Green River Basin","Springbrook Creek tributary (0006B)","King County - DNRP","Ambient Monitoring",0,1.2,1.4,5,1.9,"Low",-1.52,-122.207183,47.46604,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.4778125,0.465244755244755,655,"{84956109-BAAD-4D9C-B9DA-C8B276013286}",NA,"2013/01/18 07:09:32.000",0,0,159.93,39519.24,NA,"Green River","WA","171100130305","S","GC,CD","171100191200",305066.764574491,1721547901.93617,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.538887469685631
551,"Puget Sound (Duwamish-Green) Basin","Joes Creek","City of Federal Way","Macroinvertebrate Sampling",10.6,9.7,10.4,11.3,10.5,"Low",-0.28,-122.3767,47.326731,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0348571428571429,0.0931654676258993,693,"{FCF7427E-25B4-40F1-965E-C3F12403ACB7}",NA,"2013/01/18 07:09:32.000",0,0,137.24,33913.08,NA,"Miller Creek-Frontal East Passage","WA","171100190204","F","NM","171100191200",384827.285640685,1477324542.52846,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.496425942300179
552,"Puget Sound (Duwamish-Green) Basin","Joes Creek","City of Federal Way","Macroinvertebrate Sampling",18.6,6.1,7.7,11.3,10.925,"Low",2.03,-122.376156,47.324608,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.01,0.131884057971014,693,"{FCF7427E-25B4-40F1-965E-C3F12403ACB7}",NA,"2013/01/18 07:09:32.000",0,0,137.24,33913.08,NA,"Miller Creek-Frontal East Passage","WA","171100190204","F","NM","171100191200",384827.285640685,1477324542.52846,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.496425942300179
554,"Puget Sound (Duwamish-Green) Basin","Lakota Creek","City of Federal Way","Macroinvertebrate Sampling",13.5,19.9,16.5,23.7,18.4,"Low",-2.72,-122.367683,47.325175,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.0874285714285714,0.130652173913043,693,"{FCF7427E-25B4-40F1-965E-C3F12403ACB7}",NA,"2013/01/18 07:09:32.000",0,0,137.24,33913.08,NA,"Miller Creek-Frontal East Passage","WA","171100190204","F","NM","171100191200",384827.285640685,1477324542.52846,"53","033","01531933","0500000US53033","53033","King","King County","WA","Washington","06",5479337396,496938967,0.496425942300179
